[Accuracy: 45.1% for 1000 games with 10 bombs, total time: 69.06s, average time per game: 0.07s]
lost,286,346,0.02,2
lost,286,347,0.02,2
lost,286,348,0.04,4
won,287,348,0.1,19
won,288,348,0.08,17
won,289,348,0.11,20
lost,289,349,0.04,1
lost,289,350,0.03,2
lost,289,351,0.04,7
lost,289,352,0.05,13
lost,289,353,0.09,19
lost,289,354,0.03,4
won,290,354,0.12,33
lost,290,355,0.06,8
lost,290,356,0.04,1
lost,290,357,0.02,1
won,291,357,0.07,20
lost,291,358,0.03,1
won,292,358,0.1,26
won,293,358,0.1,24
won,294,358,0.12,24
won,295,358,0.07,12
lost,295,359,0.07,12
lost,295,360,0.04,1
won,296,360,0.1,24
won,297,360,0.09,29
won,298,360,0.1,26
won,299,360,0.09,21
won,300,360,0.11,33
lost,300,361,0.03,1
lost,300,362,0.04,5
lost,300,363,0.04,1
won,301,363,0.11,33
lost,301,364,0.02,2
lost,301,365,0.03,1
lost,301,366,0.04,5
lost,301,367,0.05,8
lost,301,368,0.09,17
lost,301,369,0.09,19
won,302,369,0.08,17
won,303,369,0.08,27
lost,303,370,0.03,1
won,304,370,0.07,19
lost,304,371,0.03,3
won,305,371,0.1,14
lost,305,372,0.03,2
won,306,372,0.05,12
won,307,372,0.11,31
won,308,372,0.11,28
lost,308,373,0.04,4
won,309,373,0.11,27
lost,309,374,0.05,3
won,310,374,0.11,22
won,311,374,0.08,18
won,312,374,0.08,18
lost,312,375,0.04,1
lost,312,376,0.12,34
won,313,376,0.08,29
lost,313,377,0.05,3
lost,313,378,0.04,4
lost,313,379,0.1,33
won,314,379,0.1,22
won,315,379,0.11,22
lost,315,380,0.03,3
lost,315,381,0.04,3
won,316,381,0.1,24
lost,316,382,0.03,5
won,317,382,0.1,22
lost,317,383,0.03,1
lost,317,384,0.04,2
lost,317,385,0.04,2
lost,317,386,0.08,15
lost,317,387,0.1,27
won,318,387,0.11,21
won,319,387,0.12,24
lost,319,388,0.12,30
won,320,388,0.12,27
lost,320,389,0.06,12
lost,320,390,0.08,22
won,321,390,0.1,24
lost,321,391,0.04,1
won,322,391,0.13,31
won,323,391,0.1,24
lost,323,392,0.03,2
lost,323,393,0.07,25
won,324,393,0.12,31
lost,324,394,0.04,1
lost,324,395,0.04,3
lost,324,396,0.03,1
won,325,396,0.08,20
lost,325,397,0.08,20
lost,325,398,0.07,21
lost,325,399,0.11,22
lost,325,400,0.04,4
lost,325,401,0.06,13
lost,325,402,0.06,12
lost,325,403,0.04,8
won,326,403,0.08,16
won,327,403,0.07,23
lost,327,404,0.03,1
lost,327,405,0.04,3
lost,327,406,0.04,2
lost,327,407,0.04,2
lost,327,408,0.03,5
won,328,408,0.12,32
won,329,408,0.12,27
won,330,408,0.1,11
won,331,408,0.1,13
lost,331,409,0.04,3
lost,331,410,0.03,1
